state,cx,cy,x,y,w,h,tails,is_stemmed,is_filled,is_sharped,is_flatted,is_naturaled,is_dotted,staff_pitch,pitch,total_pixel,label,duration,beat,sample_rate
1,3704,1478,3681,1459,47,38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-3.0,7823.0,A,1.0,21.375,41624
1,3704,1166,3680,1145,50,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,7823.0,F,1.0,21.375,66075
1,3705,1091,3680,1070,50,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,7824.0,C,1.0,21.375,99001
1,3870,1461,3848,1442,47,39,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,7989.0,Bb,0.5,21.5,44100
1,3872,1422,3848,1403,47,39,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7991.0,D,0.5,21.5,55562
1,3871,1166,3847,1145,50,45,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,7990.0,F,0.5,21.5,66075
1,4002,1478,3979,1460,48,38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-3.0,8121.0,A,0.5,21.625,41624
1,4003,1440,3979,1421,48,39,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8122.0,C,0.5,21.625,49500
1,4003,1222,3978,1202,51,42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8122.0,C,0.5,21.625,49500
1,4003,1166,3979,1145,50,45,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8122.0,F,0.5,21.625,66075
1,302,2387,280,2368,47,39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0,-5.0,8540.0,G,1.0,22.0,37083
1,304,2349,280,2329,47,40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,8542.0,Bb,1.0,22.0,44100
1,303,2090,279,2070,50,43,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8541.0,D,0.5,22.0,55562
1,304,1997,279,1977,51,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,8542.0,Bb,1.0,22.0,88200
1,403,2072,379,2052,51,42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,8641.0,E,0.5,22.125,62366
1,497,2404,473,2384,51,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,-7.0,8735.0,F,1.0,22.375,33037
1,498,2329,473,2309,51,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8736.0,C,1.0,22.375,49500
1,497,2054,474,2034,48,41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8735.0,F,1.0,22.375,66075
1,499,2014,475,1996,47,39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,8737.0,A,1.0,22.375,83249
1,637,2460,613,2439,49,45,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-7.0,-12.0,8875.0,C,2.0,22.5,24750
1,637,2329,612,2308,50,44,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8875.0,C,2.0,22.5,49500
1,636,2072,613,2054,47,39,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,8874.0,E,2.0,22.5,62366
1,637,2034,613,2014,47,39,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,7.0,8875.0,G,2.0,22.5,74167
1,944,2534,920,2514,50,43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-11.0,-19.0,9182.0,F,1.0,22.625,16518
1,944,2366,919,2346,51,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-3.0,9182.0,A,1.0,22.625,41624
1,944,2109,920,2089,50,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9182.0,C,1.0,22.625,49500
1,945,2053,920,2032,50,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,9183.0,F,1.0,22.625,66075
1,1130,2534,1106,2514,51,43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-11.0,-19.0,9368.0,F,1.0,23.0,16518
